Point	x	y	z
803	-0.058	0.794	9.374
804	-0.058	0.794	9.374
805	-0.475	0.766	9.034
806	-0.475	0.766	9.034
807	-0.475	0.766	9.034
808	-0.298	1.067	8.531
809	-0.298	1.067	8.531
810	0.295	1.532	8.44
811	0.295	1.532	8.44
812	0.712	1.905	8.388
813	0.712	1.905	8.388
814	0.764	2.063	8.095
815	0.764	2.063	8.095
816	0.764	2.063	8.095
817	0.611	2.02	7.995
818	0.611	2.02	7.995
819	0.295	1.939	8.412
820	0.295	1.939	8.412
821	0.295	1.939	8.412
822	0.022	1.561	9.154
823	0.022	1.561	9.154
824	-0.034	1.335	10.083
825	-0.034	1.335	10.083
826	-0.034	1.335	10.083
827	-0.096	1.187	10.715
828	-0.096	1.187	10.715
829	-0.307	0.948	10.94
830	-0.307	0.948	10.94
831	-0.307	0.948	10.94
832	-0.427	0.852	10.691
833	-0.427	0.852	10.691
834	-0.47	0.928	10.025
835	-0.47	0.928	10.025
836	-0.47	0.928	10.025
837	-0.288	1.048	9.475
838	-0.288	1.048	9.475
839	-0.034	1.187	9.235
840	-0.034	1.187	9.235
841	-0.034	1.187	9.235
842	0.013	1.244	9.211
843	0.013	1.244	9.211
844	-0.005	1.168	9.542
845	0.017	1.096	9.891
846	0.017	1.096	9.891
847	0.017	1.096	9.891
848	0.017	1.096	9.891
849	-0.116	0.962	10.178
850	-0.015	0.952	10.231
851	-0.015	0.952	10.231
852	-0.015	0.952	10.231
853	-0.082	0.972	10.169
854	-0.082	0.972	10.169
855	-0.173	0.905	10.011
856	-0.173	0.905	10.011
857	-0.173	0.905	10.011
858	-0.245	0.972	9.757
859	-0.245	0.972	9.757
860	-0.116	1.058	9.661
861	-0.116	1.058	9.661
862	-0.116	1.058	9.661
863	0.137	1.125	9.542
864	0.137	1.125	9.542
865	0.338	1.273	9.594
866	0.338	1.273	9.594
867	0.338	1.273	9.594
868	0.582	1.369	9.925
869	0.582	1.369	9.925
870	0.563	1.326	9.939
871	0.563	1.326	9.939
872	0.563	1.326	9.939
873	0.372	1.288	9.8
874	0.372	1.288	9.8
875	0.142	1.211	9.771
876	0.142	1.211	9.771
877	0.142	1.211	9.771
878	0.094	1.206	9.747
879	0.094	1.206	9.747
880	0.18	1.268	9.867
881	0.18	1.268	9.867
882	0.18	1.268	9.867
883	0.223	1.24	9.953
884	0.223	1.24	9.953
885	0.238	1.312	9.791
886	0.238	1.312	9.791
887	0.238	1.312	9.791
888	0.3	1.364	9.465
889	0.458	1.388	9.436
890	0.458	1.388	9.436
891	0.458	1.388	9.436
892	0.429	1.307	9.637
893	0.429	1.307	9.637
894	0.396	1.225	9.776
895	0.396	1.225	9.776
