Point	x	y	z
502	0.132	1.048	9.8
503	0.132	1.048	9.8
504	0.108	0.976	9.877
505	0.108	0.976	9.877
506	0.108	0.976	9.877
507	0.171	1.005	10.016
508	0.171	1.005	10.016
509	0.142	1	9.958
510	0.142	1	9.958
511	0.142	1	9.958
512	0.41	1.288	9.599
513	0.41	1.288	9.599
514	0.587	1.35	9.657
515	0.587	1.35	9.657
516	0.587	1.35	9.657
517	0.568	1.484	9.34
518	0.568	1.484	9.34
519	0.42	1.422	9.446
520	0.42	1.422	9.446
521	0.42	1.422	9.446
522	0.29	1.273	9.633
523	0.29	1.273	9.633
524	0.199	1.192	9.848
525	0.199	1.192	9.848
526	0.199	1.192	9.848
527	0.195	1.086	10.006
528	0.204	1.154	9.891
529	0.204	1.154	9.891
530	0.132	1.197	9.618
531	0.132	1.197	9.618
532	0.132	1.197	9.618
533	0.094	1.168	9.628
534	0.094	1.168	9.628
535	0.104	1.173	9.585
536	0.104	1.173	9.585
537	0.104	1.173	9.585
538	0.094	1.192	9.518
539	0.094	1.192	9.518
540	0.228	1.225	9.508
541	0.228	1.225	9.508
542	0.228	1.225	9.508
543	0.314	1.254	9.585
544	0.314	1.254	9.585
545	0.415	1.278	9.647
546	0.415	1.278	9.647
547	0.415	1.278	9.647
548	0.401	1.244	9.7
549	0.401	1.244	9.7
